Product name,Color Grade,COLOR,Material,Gemstone Style,Main Stone,Side Stone,Plating,Product Dimention,Size,Carat weight,Price(USD),Website Link,Image Link
"7-Stone Moissanite Ring S925 0.77 CT - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,,,0.77 CT,-50% $37.00 $74.00,https://vm.tiktok.com/ZP9jhVx5huSt7-YamK7/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/b2b7dee319704c7cb8c91ba6609656ab~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
7-Stone Moissanite Ring S925 0.77 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,,,0.77 CT,-50% $37.00 $74.00,https://vm.tiktok.com/ZP9jhVx5huSt7-YamK7/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/b2b7dee319704c7cb8c91ba6609656ab~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Elegant Crown Moissanite Ring S925 0.3 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,,,0.3 CT,-49% $38.00 $75.00,https://vm.tiktok.com/ZP9jhVpdmKegN-5CvEc/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/76e975f916b342e991555e8d9746b8a4~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Carissa Moissanite Ring S925 0.03 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-2gr,Adjustable,0.03 CT,-29% $24.00 $34.00,https://vm.tiktok.com/ZP9jhVnB1LQ1H-1uEOx/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/c959ce6ded8942c4a52e7a5ae3c49ac2~tplv-fhlh96nyum-crop-webp:1000:1000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Hera Moissanite Ring S925 - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,0.025ct X 25,$30,https://vm.tiktok.com/ZP9jhVWPWagcw-aogps/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/44a3080b3630419f920a0592b1823b76~tplv-fhlh96nyum-crop-webp:1254:1254.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Simple Twist Moissanite Ring S925 - Channel Set - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,0.0025ct x7,$22,https://vm.tiktok.com/ZP9jhVveQh1sq-5CGYr/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/0c32a217d4e149efa89ace964d63e8d6~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Azalea Moissanite Ring S925 0.06 CT - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,,,0.06 CT,-51% $49.00 $99.00,https://vm.tiktok.com/ZP9jhVcXgq992-Sl9tU/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/58a39c45bc784d009ed00a54d58517e4~tplv-fhlh96nyum-crop-webp:1000:1000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Joanne Moissanite Ring S925 0.14 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,,,0.14 CT,$31.00,https://vm.tiktok.com/ZP9jhVvp4FCSJ-pTyMm/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/dd408aeab22a4005ba2eae9536233749~tplv-fhlh96nyum-crop-webp:1000:1000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Azalea Moissanite Ring S925 0.06 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,,,0.06 CT,-51% $49.00 $99.00,https://vm.tiktok.com/ZP9jhVE5T53fd-GPbrR/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/58a39c45bc784d009ed00a54d58517e4~tplv-fhlh96nyum-crop-webp:1000:1000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Laurel Leaf Moissanite Ring S925 - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,,,0.025ct x1,-27% $22.00 $30.00,https://vm.tiktok.com/ZP9jhVKMQno9w-tJqng/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/7be8ea1196ac441bae15fe8b2f56a935~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Arryn Silver Moissanite Ring S925 - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-2gr,Adjustable,0.015ct x2,$29.00,https://vm.tiktok.com/ZP9jhq1b7GpEe-pk2L6/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/b3d9e644de2a45b3a84761c798665d14~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Violetta Moissanite Ring S925 0.08 CT - Channel Set - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm","7, 8 & 9",0.08 CT,48% $31.00 $60.00,https://vm.tiktok.com/ZP9jhqebvXYKE-rLnjI/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/abbcede00e7e4130861dcc08e8d4bbaf~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Trinity Simple Moissanite Ring S925 - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-2gr,6 & 7,0.03ct x3,-48% $31.00 $60.00,https://vm.tiktok.com/ZP9jhqeHCFSjT-5YDcP/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/03da1ccbd61e4ee0a9f7e05f8e5f5c2f~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
V Shaped Moissanite Ring S925 0.17 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,,,0.17 CT,-49% $38.00 $75.00,https://vm.tiktok.com/ZP9jhqNyP54dj-6i6Jl/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/c098ea6a8d6a47cbb8807178e4c329ca~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
