Product name,Color Grade,Color,Material,Gemstone Style,Main Stone,Side Stone,Plating,Product Dimention,Carat weight,Price(USD),Website Link,Image Link
Grace Silver Moissanite Bracelet S925 - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.06CT x53,-54% $137 .00 $299.00,https://vm.tiktok.com/ZP9jhxaNJdWyY-iKxwB/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/53ff7eece5d8442ca346a402abdf7fce~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Marianne Silver Moissanite Bracelet S925 0.03ct x 40 - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +-3-6gr
Volume: +- 7inch x 0.8inch x 0.8inch", 0.03ct x 40,-38% $65.00 $105.00,https://vm.tiktok.com/ZP9jhxuT4saoq-ABvKz/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/17d291f57f37444fa75c60c31d5f017e~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Rose Gold and Gold Rounded Moissanite Bracelet S925 0.5 / 1.0 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +-3-6gr
Volume: +- 7inch x 0.8inch x 0.8inch", 0.5 CT/1.0 CT,"0.5 :  $38.00
1.0 : $49.00",https://vm.tiktok.com/ZP9jhxXhk7tR5-BS8AN/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/6fa3170d37d54bcdbb7557858a269630~tplv-fhlh96nyum-crop-webp:1000:1000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Xavia Simple Moissanite Bracelets S925 0.3 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.3 CT,-49% $38.00 $75.00,https://vm.tiktok.com/ZP9jhxqNr2CmJ-wGNSW/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/ed86e565f0ca4c0c9a327d6de6319c18~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Xienna Heart Moissanite Bracelet S925 0.6 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +-3-6gr
Volume: +- 7inch x 0.8inch x 0.8inch",0.6 CT,-49% $38 .00 $75.00,https://vm.tiktok.com/ZP9jhxG7hunDr-g5tAm/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/f6b899fd66d94a5dbd89fc72189c21c7~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Athena Jewelry Accessories Moissanite Bracelet S925 - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +-3-6gr 
Volume:+- 7inch x 0.8inch x 0.8inch",1.0 CT,-46% $81.00   $150.00,https://vm.tiktok.com/ZP9jhx3juP23S-XGNnH/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/f8e84882aa874ee0a0055be0f39fb418~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Xienna Heart Moissanite Bracelet S925 0.6 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +-3-6gr
Volume: +- 7inch x 0.8inch x 0.8inch",0.6 CT,-49% $38.00 $75.00,https://vm.tiktok.com/ZP9jhQetbLPE6-g9FIV/,https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/f6b899fd66d94a5dbd89fc72189c21c7~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Stardust Moissanite Bracelet S925 1.0 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +-3-6gr
Volume: +- 7inch x 0.8inch x 0.8inch",1.0 CT,"
-42% $78.00 $135.00",https://vm.tiktok.com/ZP9jhQB79g1fN-AuRI9/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/da9300e1ef2a42fd804d9f69a8320213~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Violetta Stargazing Moissanite Bracelet S925 - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,,0.1 CT x 44,$123.00,https://vm.tiktok.com/ZP9jhQfTyJPyS-M2o41/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/21abbcab233a476ba93770eb406b8b28~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Anastasia Moissanite Silver Bracelet S925 1.0 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 4gr & +-3-6gr
Volume: +- 7inch x 0.8inch x 0.8inch",1.0 CT,-47% $71.00 $135.00,https://vm.tiktok.com/ZP9jhQxA77RL6-oJ6aj/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/bd33a58907094145b5d2b54736dbe2b0~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
