Product name,Color Grade,Color,Material,Gemstone Style,Main Stone,Side Stone,Plating,Product Dimention,Carat weight,Price(USD), Website Link,Image Link
"Tulip Moissanite Earrings S925 0.1 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.1 CT,$45.00,https://vm.tiktok.com/ZT9jhPBVcRQ5G-lWYG5/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/ab5c3ec3e0914533955440730b78670a~tplv-fhlh96nyum-crop-webp:1254:1254.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Twin Stars Moissanite Earrings S925 0.01 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-2gr,0.01 CT,-52% $58.00 $120.00,https://vm.tiktok.com/ZP9jh5xAFuEeF-mU3T0/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/e392c04257c844079ca69a5d1eeb70f8~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Square Shaped Moissanite Earrings S925 1.0 CT - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-2gr,1.0 CT,$85.00,https://vm.tiktok.com/ZP9jh5nM11ppR-LyYqq/,https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/5fbf83043319455d9b2c01eda6647549~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Cassia Moissanite Earrings S925 0.36 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,,0.03CT x 12,-49% $38.00 $75.00,https://vm.tiktok.com/ZP9jh53c85eo2-WeWTi/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/94d475480c15462b9a9e38c6c8ea3086~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Simple Shaped Moissanite Earrings S925 0.3 / 0.5 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.3ct x 2 | 0.5ct x 2,$31.00,https://vm.tiktok.com/ZP9jh5o6n8o4t-ARjJB/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/aabe0d0123c44797803d893d6a62e357~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Irina Drop Moissanite Earrings S925 - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.39 CT x 2,-50% $45.00 $90.00,https://vm.tiktok.com/ZP9jhaYbx6WNQ-HpOHw/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/eebf7005d2da48e085751b4e630fc341~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Glamour Moissanite Earrings S925 0.9 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,,0.025 CT x 36,-50% $45.00 $90.00,https://vm.tiktok.com/ZP9jhafUb56DM-VgxVC/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/2eae84fac0614975ab332550f81401e2~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Daisy Moissanite Earrings S925 - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.5 CT x 2,$58.00,https://vm.tiktok.com/ZP9jhaHkFfV5x-JRWoK/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/15b75038ae93424dad2226c24b0fde18~tplv-fhlh96nyum-crop-webp:1000:1000.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Jaden Moissanite Earrings S925 0.5/1.0 CT - Oval Cut - Lore Jewelry",,,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",0.5/1.0 CT,$83.00,https://vm.tiktok.com/ZP9jhaq3oG3Wn-kdLPq/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/ea6ceda3beb14107a14547cc20f6a4c4~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Moon & Star Silver Moissanite Earrings S925 - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm", Moon (0.01ct x12 + 0.015ct x3) & Star (0.11ct x1 + 0.015ct x14 + 0.01ct x4 + 0.0067ct x4),-51% $51.00 $105.00,https://vm.tiktok.com/ZP9jhaskJxWre-I3d7W/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/a86270f30982434e8607a1c3545cf4d1~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
