Product name,Color Grade,Color / Variety/Specification,Material,Gemstone Style,Main Stone,Side Stone,Plating,Chain Length,Product Dimension,Carat weight,Price(USD),Website Link,Image Link
"Laury Simple Moissanite Necklace S925 0.3 /0.5 / 1.0 /2.0 /3.0 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,±47 cm,Weight : ± 2 grams (Specific to the real product) ,0.3 / 0.5 / 1.0 /2.0 /3.0 CT,"0.3 : $29.00
0.5 : $45.00
1.0 : -52% $58.00 $120.00
2.0 : $91.00
3.0 : $137.00",https://vm.tiktok.com/ZP9jhCEVyxLnq-D6eA2/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/52cc0a52a4284a39a638623a121a4dd0~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Round Silver Moissanite Necklace 0.5CT S925 - Round Cut - Bezel - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,18.5 inch,"Weight: +- 4gr
Volume: +- 18.5inch x 0.8inch x 0.8inch",0.5CT,-50 $55.00 $110.00,https://vm.tiktok.com/ZP9jhXdqy7xMp-6QfOn/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/135b63e3981d4af5b509e5e9b534b841~tplv-fhlh96nyum-crop-webp:1254:1254.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Strella Black Pearl Moissanite Necklace S925 - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Black Pearl,Moissanite,,18.5 inch,"Weight: +- 4gr
Volume: +- 18.5inch x 0.8inch x 0.8inch",0.03 CT X 17 & 0.07 CT,$58.00,https://vm.tiktok.com/ZP9jhX1s6fatM-1NJpX/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/a9f3c1ac39414c8bae13e429fc1d8627~tplv-fhlh96nyum-resize-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Cross Fleury Moissanite Necklace S925 - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,18.5 inch,"Weight: +- 4gr
Volume: +- 18.5inch x 0.8inch x 0.8inch","0,5 CT x 1",-53% $71.00 $150.00,https://vm.tiktok.com/ZP9jhX2jcvYKd-fuC7X/,https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/b78840f93dba488eb97dd5375a289f2c~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Amora Moissanite Necklace 0.5 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,(+- 18.5inch),"Weight: +- 4gr
Volume: +- 18.5inch x 0.8inch x 0.8inch",0.5 CT,$45.00,https://vm.tiktok.com/ZP9jhX6jopTwG-62Rr1/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/11ddb28f0a73460986239f51546fa56e~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Dragonfly Moissanite Necklace S925 - Round Cut - Lore Jewelry",D (Colorless stone),"Dragonfly Gold Necklace
Dragonfly Silver Necklace",Sterling Silver 925,Moissanite,Moissanite,Moissanite,,±47 cm,Weight : ± 2 grams,0.06CT,$58.00,https://vm.tiktok.com/ZP9jhXjb47Tku-XfXjZ/,https://p19-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/03e6b44cec284344a69f603b5899a6fa~tplv-fhlh96nyum-resize-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Curve Shape Moissanite Necklace S925 0.7 CT - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,18.5 inch,"Weight: +- 4gr
Volume: +- 18.5inch x 0.8inch x 0.8inch", 0.7 CT,$36.00,https://vm.tiktok.com/ZP9jhXrH363SA-2nl3W/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/55e069be2abf4998be59533261765380~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Cleo Silver Moissanite Necklace S925 1.0 CT- Princess Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,±47 cm,Weight : ± 2 grams (Specific to the real product) ,1.0 CT ,$51.00,https://vm.tiktok.com/ZP9jhXrQfLmKL-Ov4zk/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/9ec54f86b0cd45edbc05ecbe1303f8d5~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Agatha Key Moissanite Necklace S925 0.5/1.0/2.0 CT - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,±47 cm,,0.5/1.0/2.0 CT,"0.5 : $58.00
1.0: $88.00
2.0 : $118.00",https://vm.tiktok.com/ZP9jhXAMXtSWr-raOf5/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/19818e46de44471da8583cd7f4cf3b06~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
"Savita Moissanite Necklace S925 1.0 CT - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,18.5 inch,"Weight: +- 4gr
Volume: +- 18.5inch x 0.8inch x 0.8inch",1.0 CT,-51% $51.00 $105.00,https://vm.tiktok.com/ZP9jhXBTvWSwn-Ib8R8/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/ac473ac3375c48dd9c526327fc7e08f1~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast8&from=2378011839
