Product name,Color Grade,COLOR,material,Gemstone Style,Main Stone,Side Stone,Plating,Product Dimention,Size,Carat weight,Price(USD),Website Link,Image Link
Square Shaped Moissanite Ring S925 0.5/1.0/2.0 CT - Emerald Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,0.5/1.0/2.0 CT,"0.5 : $71
1.0 : $87.00
2.0 :-54% $138.00 $300
",https://vm.tiktok.com/ZP9jhbwyv5XbE-mpKde/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/b668b6e0a32644229ffe1c5378b27d7b~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Mae Silver Moissanite Ring S925 0.5/ 1.0 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,0.5/1.0 CT,"0.5 : -48% $31.00 $60.00
1.0 : $45.00",https://vm.tiktok.com/ZP9jhbEo5pAhR-JBAnR/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/4a0facf349234b79805837c50a4a8b86~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Twin Stars Moissanite Ring S925 0.01 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-2gr,Adjustable,0.01 CT,-51% $51.00 $105.00,https://vm.tiktok.com/ZP9jhg19T9qrn-8xj7Z/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/7604471473e94af98c6fc985e79c18c2~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Britney Moissanite Ring S925 0.5/1.0 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,0.5/1.0 CT,"0.5 : $51.00
1.0: $69.00",https://vm.tiktok.com/ZP9jhgJt9UKCx-4JEPi/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/bcdba79dbf354456aac58dd2bac820d7~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Florence Moissanite Ring S925 0.5/1.0 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,0.5/1.0 CT,"0.5 : $51.00
1.0 : -53% $71.00 $150.00",https://vm.tiktok.com/ZP9jhgd3WM51e-ICQxI/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/b1187ad6312b4757b79fde3743232b60~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Star Light Moissanite Ring S925 0.5 / 1.0 CT - Round Cut - Lore Jewelry, D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,Weight: +-2gr,"5,6,,8,9",0.5/1.0 CT,"0.5 : $38.00
1.0 : $69.00",https://vm.tiktok.com/ZP9jhgLFUF4sF-KQYau/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/abdc822ecb5140378208d1694eaa5b09~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Bling Star Moissanite Ring S925 0.5/1.0/2.0 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,0.5/1.0/2.0 CT,"0.5 : $44.00
1.0 : $64.00
2.0 : $83.00 ",https://vm.tiktok.com/ZP9jhgF2CMLUo-E8ZkZ/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/a64cfcd0777c4d09b8d483dcc5f9dfb7~tplv-fhlh96nyum-crop-webp:800:800.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
Sophia Luxury Moissanite Ring S925 0.5/1.0/2.0 CT - Round Cut - Lore Jewelry,D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,0.5/1.0/2.0 CT,"0.5 : $51.00
1.0: $91.00
2.0: $118.00",https://vm.tiktok.com/ZP9jhgjDREVMk-D8VEa/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/960a160c5e1149bbb955eb5432938d2d~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Crescent Star Moissanite Ring S925 0.5 CT - Round Cut - Lore Jewelry
",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +-2gr",Adjustable,0.5 CT,51% $51.00 $105.00,https://vm.tiktok.com/ZP9jhg6GHo7oQ-uOTPW/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/321ff2c52c6548edb53fc84173c87c5e~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
"Flower Luxury Moissanite Ring Silver S925 0.5/1.0/2.0 CT - Round Cut - Lore Jewelry",D (Colorless stone),,Sterling Silver 925,Moissanite,Moissanite,Moissanite,,"Weight: +- 2gr
Volume: +- 2cm x 2cm x 2cm",Adjustable,0.5/1.0/2.0 CT,"0.5 : $ 45.00
1.0 : -52% $64.00 $134.00
 2.0 : $88.00",https://vm.tiktok.com/ZP9jhgru4W3fd-eNOW3/,https://p16-oec-general-useast5.ttcdn-us.com/tos-useast5-i-omjb5zjo8w-tx/abfd8f1033bd4a53af7bacb4d0349c85~tplv-fhlh96nyum-crop-webp:1024:1024.webp?dr=12190&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=607f11de&idc=useast5&from=2378011839
